eval_date,model,total_value_eur,total_delta,total_gamma,total_vega,total_theta,count
2024-01-31,black_scholes,1.5206116243210306e-298,1.0547070951823557e-294,2.1529777588968728e-291,2.926207606349108e-293,1.1199378066157895e-293,4
2024-01-31,merton_jump,1.6063832667638512e-06,5.9644783888545404e-05,0.000636565907196426,0.00020990243956193035,0.0013934095020850877,4
2024-01-31,sabr,1.2087200617409218e-53,6.6246717544726566e-52,1.0497021957546443e-50,3.2608201248690494e-50,6.004117788766489e-51,4
2024-02-29,black_scholes,16425.93740610919,308261.0,0.0,0.0,0.0,5
2024-02-29,merton_jump,16425.93740610919,308261.0,4.3041249352807565e-57,9.65935081809066e-57,8.713436834263324e-57,5
2024-02-29,sabr,16425.93740610919,308261.0,6.838083952422824e-51,1.9256344601734468e-50,3.712238476428128e-51,5
2024-03-31,black_scholes,16625.700050075116,308261.0,0.0,0.0,0.0,6
2024-03-31,merton_jump,16625.700050075116,308261.0,6.85978236827286e-41,1.1862154455273604e-40,1.4777190952327285e-40,6
2024-03-31,sabr,16625.700050075116,308261.0,3.551711291103175e-41,9.404626730575887e-41,2.1084075851031042e-41,6
2024-04-30,black_scholes,15082.079619429156,308261.0,0.0,0.0,0.0,6
2024-04-30,merton_jump,15082.079619429156,308261.0,1.6402401339621778e-25,1.8717480196437043e-25,3.4576367104721843e-25,6
2024-04-30,sabr,15082.079619429156,308261.0,1.3532144361527625e-40,2.9784151208056177e-40,7.011142130654513e-41,6
2024-05-31,black_scholes,17179.58738107161,308261.0,1.0379458958471331e-125,1.8456987605238723e-127,1.1802381391087176e-127,10
2024-05-31,merton_jump,17179.587385084782,308261.00014822703,0.0015858313743904698,0.0005122400667033523,0.003641325317099085,10
2024-05-31,sabr,17179.58738107161,308261.0,1.5365060705014954e-54,2.4361521314368276e-54,5.332464531943482e-55,10
2024-06-30,black_scholes,65949.45619405582,1765012.6693914495,1.1821977734134126e-34,2.4395300829572816e-37,11468974.815596774,11
2024-06-30,merton_jump,45067.87421992569,1137495.742017977,8047.496304201898,346.63640642827806,37183.704848969726,11
2024-06-30,sabr,65949.45619405582,1765012.6693914495,3.1784812463026257e-58,3.86105535715769e-58,11468974.815596774,11
2024-07-31,black_scholes,105162.3434421521,2117303.4330731044,519213.0488901669,2132.9399842152147,32926.60022526609,16
2024-07-31,merton_jump,105170.98043105792,2115679.987212678,2130.4593362047453,226.14903854487736,8008.366474948759,16
2024-07-31,sabr,105160.41675710716,2115376.937649591,768.8982389278744,1.7414325976480138,16.08541947801424,16
2024-08-31,black_scholes,165042.4421746358,2797601.9052725933,14441.090232836767,106.83004283698907,1150.4639383140088,16
2024-08-31,merton_jump,165062.2202618348,2798075.2475294285,3670.6288060972265,351.99076932401226,12605.493485293853,16
2024-08-31,sabr,165042.32469987008,2797524.0000050724,0.003070770814077074,1.230164824935548e-05,7.564128391912229e-05,16
2024-09-30,black_scholes,267751.4174061192,4864499.000008676,0.0029690927922294413,2.9448928369115415e-05,0.0001373350196659326,17
2024-09-30,merton_jump,267752.7067675507,4864549.1995761115,529.186131871328,73.13473942473776,1377.3060708193425,17
2024-09-30,sabr,267751.41740611184,4864499.0,3.7235063863051384e-24,2.0622705011392593e-26,5.460134819715387e-26,17
2024-10-31,black_scholes,306683.69121414627,5544378.0,4.364454458164093e-61,1.778818912628693e-63,2.991452651940293e-63,19
2024-10-31,merton_jump,306690.4748367678,5544596.901469711,1808.7332625548095,174.63096538489145,4270.881754998134,19
2024-10-31,sabr,306683.69121414627,5544378.0,1.0343630792373098e-123,1.6354743688985708e-124,5.199115107534998e-125,19
2024-11-30,black_scholes,326491.9489792682,6975414.0,3.012074374666127e-97,9.91021476629529e-99,6.523743673412925e-99,19
2024-11-30,merton_jump,326491.9489793658,6975414.00000364,3.918860756052033e-05,1.4107787599099451e-05,8.543166206321788e-05,19
2024-11-30,sabr,326491.9489792682,6975414.0,4.738951927149635e-113,1.7710769585182488e-114,1.0268114198950867e-114,19
2024-12-31,black_scholes,320314.8503801961,8018288.0,0.0,0.0,0.0,19
2024-12-31,merton_jump,320314.8503801961,8018288.0,0.0,0.0,0.0,19
2024-12-31,sabr,320314.8503801961,8018288.0,,,,19
