model,avg_option_value_eur,atm_avg_value_eur,avg_delta,atm_avg_delta,avg_gamma,portfolio_pnl_volatility,avg_portfolio_value_eur,avg_portfolio_delta
black_scholes,10964.253069238233,1892.1703893309875,0.4861959929695974,0.3142857142857143,0.010397953894907394,33085.30059317948,135225.7878539382,2776295.0839788187
merton_jump,10823.407840128402,1892.3620736248088,0.47976075893374026,0.3142951145526702,0.00018774896347668413,33790.614662543296,133488.69669491696,2723928.5898347846
sabr,10964.239257347572,1892.1703893309875,0.4861571501584939,0.3142857142857143,3.161744687595913e-05,33085.436163737795,135225.61750728672,2776128.050587176
